     Date     Nino Index 3.4  Sun activity  QBO 30hPa    QBO 10hPa     EHF NH        EHF SH         AO         AAO
    202001         0.64          -1.06         0.22        -1.42        -0.58         1.49         2.36        -0.24
    202002         0.48          -1.13         0.09        -1.43        -0.34         1.63         3.33         0.28
    202003         0.36          -1.09        -0.01        -1.36         0.02         1.76         2.57         1.45
    202004         0.49          -1.03        -0.06        -1.09         0.36        -1.45         0.90        -0.48
    202005        -0.12          -0.96         0.01         0.35         0.57        -1.21        -0.03         0.59
    202006        -0.21          -0.92         0.46         0.92         0.64        -1.05        -0.12         1.09
    202007        -0.04          -0.95         0.79         0.73         0.69        -0.72        -0.40        -0.56
    202008        -0.42          -0.86         0.95         0.25         0.75        -0.33        -0.37        -0.73
    202009        -0.66          -0.95         1.03        -0.17         0.88        -0.11         0.61         0.20
    202010        -1.19          -0.83         1.05        -0.34        -1.92         0.16        -0.07         1.29
    202011        -1.01          -0.50         1.05        -0.62        -1.64         0.37         2.03         0.83
    202012        -0.98          -0.43         0.98        -0.95        -0.98         0.81        -1.69         1.51
    202101        -1.04          -0.74         0.89        -1.12        -0.33         0.96        -2.42         1.06
    202102        -0.94          -0.86         0.85        -1.05        -0.13         1.11        -1.16         1.37
    202103        -0.72          -0.77         0.88        -1.04         0.19         1.28         2.05         0.09
    202104        -0.55          -0.71         0.70        -1.10         0.45        -1.42        -0.20         0.84
    202105        -0.41          -0.63         0.23        -1.23         0.58        -1.24        -0.16         0.32
    202106        -0.06          -0.43        -0.37        -0.77         0.65        -1.15         0.82         1.22
    202107        -0.20          -0.33        -0.79         0.02         0.71        -0.96         0.61        -0.43
    202108        -0.38          -0.46        -0.80         0.12         0.78        -0.74        -0.21        -0.19
    202109        -0.50          -0.30        -0.94         0.08         0.89        -0.44        -0.24         1.39
    202110        -0.78          -0.24        -1.09         0.51        -1.86        -0.13        -0.14         0.47
    202111        -0.88          -0.29        -1.21         0.89        -1.56         0.20         0.10         1.33
    202112        -1.07          -0.05        -1.29         1.03        -1.09         0.52         0.20         2.20
    202201        -0.77          -0.02        -1.32         1.01        -0.83         0.70         0.83         0.85
    202202        -0.68           0.18        -1.32         1.18        -0.49         0.84         1.52         0.67
    202203        -0.84           0.30        -1.35         1.14         0.09         1.00         0.24         0.60
    202204        -0.90           0.57        -1.37         1.29         0.37        -1.49        -0.59         0.59
    202205        -1.02           0.79        -1.21         1.37         0.47        -1.31         1.19         0.14
    202206        -0.77           0.51         0.01         1.12         0.53        -1.12        -0.08        -0.84
    202207        -0.56           0.57         0.75         0.85         0.59        -0.93         0.02         0.49
    202208        -0.96           0.31         1.05         0.90         0.66        -0.62        -0.18         0.80
    202209        -1.06           0.64         1.23         1.16         0.80        -0.33        -0.64         1.55
    202210        -0.99           0.76         1.26         1.25        -1.91        -0.09         1.32         0.37
    202211        -0.76           0.62         1.24         1.19        -1.58         0.34         0.33         1.74
    202212        -0.86           0.83         1.19         0.83        -1.16         0.59        -2.64         1.77
