 Year       Month  Enso3,4       solar          QBO1          QBO2            EHF_NH          EHF_SH         AO         AAO
 1983.7083  9     -0.5200000      0.1578700      -2.304460      0.5413980       3.870500      -50.24030      0.1669000      0.8258000
 1983.7917 10      -1.160000      0.1575250      -2.147780      0.7908970       11.58760      -68.54930       1.535800       2.019300
 1983.8750 11      -1.290000      0.1556170      -1.496650       1.104050       27.38760      -68.54930      0.8479000       2.019300
 1983.9583 12      -1.030000      0.1554750     -0.9795050       1.290630       44.11060      -68.54930       1.034100       2.019300
 1984.0417  1     -0.6700000      0.1561910      -1.109250       1.340520       56.12960      -68.54930       1.939100       2.019300
 1984.1250  2     -0.1900000      0.1588340      -1.145210       1.309660       90.13560      -68.54930       1.636400       2.019300
 1984.2083  3     -0.5200000      0.1588580      -1.200770       1.267510       103.2100      -5.580600     -0.7496000      0.2509000
 1984.2917  4     -0.6800000      0.1583020      -1.224520       1.485130       109.3520      -10.43590      -1.033200     0.04670000
 1984.3750  5     -0.7300000      0.1582390     -0.7660440       1.981240       109.3520      -20.76590      -1.033200      -1.190700
 1984.4583  6     -0.9000000      0.1568000      0.1509680       2.379870       109.3520      -32.40090      -1.033200     -0.7646000
 1984.5417  7     -0.5000000      0.1556470      0.9270540       2.521030       109.3520      -38.34280      -1.033200      0.1250000
 1984.6250  8     -0.2400000      0.1542740       1.552180       2.364130       109.3520      -48.46380      -1.033200     -0.4234000
 1984.7083  9     -0.3400000      0.1532660       1.982340       2.082990       5.489500      -58.78480     -0.4128000    -0.09640000
 1984.7917 10     -0.6700000      0.1522990       2.454170       1.497510       12.88610      -78.06680     -0.6831000     -0.1058000
 1984.8750 11      -1.190000      0.1521760       2.756770      0.6240990       28.38810      -78.06680      -1.649000     -0.1058000
 1984.9583 12      -1.340000      0.1522090       2.877900      0.1369690       52.48110      -78.06680      -1.203000     -0.1058000
 1985.0417  1      -1.160000      0.1515530       2.849720     -0.1767780       71.79010      -78.06680      -4.008700     -0.1058000
 1985.1250  2     -0.7200000      0.1516260       2.265230     -0.6019790       82.92310      -78.06680      -5.448500     -0.1058000
 1985.2083  3     -0.7900000      0.1514500       2.389240      -1.028450       101.3060      -5.647700      -4.897100     -0.1336000
 1985.2917  4      -1.180000      0.1513940       1.703260      -1.582650       108.4360      -11.00440      -4.244700     -0.1021000
 1985.3750  5      -1.030000      0.1521050      0.7006440      -1.960760       108.4360      -14.93080      -4.244700     -0.1682000
 1985.4583  6     -0.9100000      0.1519560      0.2513330      -1.917980       108.4360      -26.19580      -4.244700     -0.4989000
 1985.5417  7     -0.7400000      0.1520850     0.08462370      -1.687060       108.4360      -32.54070      -4.244700       1.414800
 1985.6250  8     -0.5600000      0.1518350     -0.1682240      -1.672620       108.4360      -41.84740      -4.244700       2.009600
 1985.7083  9     -0.7000000      0.1510770     -0.5997290      -1.639690       5.312800      -50.50180      0.1144000       3.516900
 1985.7917 10     -0.4900000      0.1513170      -1.064620      -1.476480       13.96150      -64.13680       1.149500       3.987700
 1985.8750 11     -0.3700000      0.1513810      -1.227460      -1.169410       28.11850      -64.13680    -0.06800000       3.987700
 1985.9583 12     -0.4100000      0.1516330      -1.194310     -0.9554450       46.44350      -64.13680      -2.015600       3.987700
 1986.0417  1     -0.6600000      0.1513700      -1.243450      -1.158060       61.63850      -64.13680      -2.583200       3.987700
 1986.1250  2     -0.7100000      0.1522320      -1.271250      -1.406070       73.20750      -64.13680      -5.487300       3.987700
 1986.2083  3     -0.4200000      0.1519040      -1.906850      -1.356400       96.98350      -3.880800      -3.556500     -0.7696000
 1986.2917  4     -0.3300000      0.1516630      -2.157610     -0.8479780       102.1390      -10.46880      -3.453500     -0.8563000
 1986.3750  5     -0.5300000      0.1515630      -2.569480     -0.3483290       102.1390      -20.13970      -3.453500      -2.702900
 1986.4583  6     -0.3100000      0.1509700      -2.739350      0.1998590       102.1390      -26.67600      -3.453500      -3.322300
 1986.5417  7     -0.1100000      0.1512160      -2.258410      0.6173670       102.1390      -36.30570      -3.453500      -3.233100
 1986.6250  8      0.3200000      0.1508600      -2.076480      0.6792550       102.1390      -46.96570      -3.453500      -3.390100
 1986.7083  9      0.5300000      0.1505940      -2.110910      0.7023280       4.310200      -61.38270    -0.02340000      -2.541400
 1986.7917 10      0.8100000      0.1519780      -2.215610      0.7876690       12.28510      -75.64470       1.401200      -2.235700
 1986.8750 11       1.010000      0.1519000      -1.616150       1.014030       28.87510      -75.64470       2.326900      -2.235700
 1986.9583 12       1.120000      0.1511500      -1.077620       1.254670       41.00210      -75.64470       2.386700      -2.235700
 1987.0417  1       1.140000      0.1511230      -1.311560       1.238780       69.16610      -75.64470       1.239100      -2.235700
 1987.1250  2       1.130000      0.1510020      -1.368490       1.256390       86.48510      -75.64470     -0.2341000      -2.235700
 1987.2083  3      0.9800000      0.1513400      -1.157110       1.433260       95.03710      -4.859900      -1.980600     -0.1327000
 1987.2917  4      0.5800000      0.1524930     -0.1836150       1.924390       103.1980      -8.918800      -1.593600     -0.4183000
 1987.3750  5      0.6200000      0.1531840      0.9201670       2.129350       103.1980      -15.03690      -1.593600     -0.3797000
 1987.4583  6      0.9200000      0.1528580       2.119710       1.605430       103.1980      -22.02060      -1.593600      -1.081600
 1987.5417  7       1.290000      0.1533230       3.017550      0.7019980       103.1980      -26.54180      -1.593600      -2.612900
 1987.6250  8       1.570000      0.1535940       3.241920     -0.2159250       103.1980      -35.57920      -1.593600      -1.127700
 1987.7083  9       1.650000      0.1533250       2.885060     -0.8711040       4.567000      -42.70210      0.2865000      -1.926600
 1987.7917 10       1.240000      0.1542350       2.035010      -1.417170       15.46900      -54.09810      0.2065000      -1.471100
 1987.8750 11       1.070000      0.1551320       1.098030      -1.647100       32.32700      -54.09810     -0.3293000      -1.471100
 1987.9583 12      0.9400000      0.1544910      0.6930510      -1.551820       47.91900      -54.09810     -0.8632000      -1.471100
 1988.0417  1      0.9000000      0.1558930      0.3893680      -1.363130       57.47660      -54.09810     -0.5985000      -1.471100
 1988.1250  2      0.2800000      0.1562610     -0.1425810      -1.147920       76.05860      -54.09810      -1.664700      -1.471100
 1988.2083  3      0.1000000      0.1565590     -0.5532210      -1.006870       92.78960      -4.816600      -1.861800     -0.2190000
 1988.2917  4     -0.4400000      0.1579990     -0.7496630     -0.7051350       101.3150      -10.32520      -2.422500     -0.2958000
 1988.3750  5      -1.250000      0.1579480      -1.455980     -0.3976290       101.3150      -15.89120      -2.422500      -1.044400
 1988.4583  6      -1.740000      0.1598330      -1.792040    -0.07120620       101.3150      -19.60240      -2.422500      -2.099300
 1988.5417  7      -1.740000      0.1603850      -1.831920      0.2220610       101.3150      -33.76540      -2.422500      -1.523300
 1988.6250  8      -1.190000      0.1610290      -2.067320      0.1033090       101.3150      -48.72240      -2.422500      -2.268200
 1988.7083  9      -1.000000      0.1619100      -2.098550     0.07443740       3.779300      -63.22440       1.039300      -2.956700
 1988.7917 10      -1.900000      0.1632520      -2.067700     0.06628100       12.16970      -80.98940       1.071700      -5.270700
 1988.8750 11      -2.050000      0.1622910      -1.696020      0.2224310       25.23770      -80.98940       1.037000      -5.270700
 1988.9583 12      -1.960000      0.1647140      -1.379310      0.3718810       37.88970      -80.98940       2.715800      -5.270700
 1989.0417  1      -1.970000      0.1676290      -1.797530      0.2393820       51.56970      -80.98940       5.821800      -5.270700
 1989.1250  2      -1.470000      0.1681050      -1.808160     0.06065610       80.96570      -80.98940       9.101100      -5.270700
 1989.2083  3      -1.210000      0.1662400      -2.003850    -0.07869500       93.88370      -4.760900       10.63140      0.6321000
 1989.2917  4      -1.080000      0.1658250      -2.275000      0.2293660       100.4150      -10.13490       10.38120     0.05900000
 1989.3750  5     -0.8800000      0.1668840      -2.046140      0.8490360       100.4150      -18.27210       10.38120       2.749600
 1989.4583  6     -0.5900000      0.1703850      -1.017260       1.581860       100.4150      -24.59910       10.38120       4.744400
 1989.5417  7     -0.5700000      0.1673150     -0.1485170       2.039280       100.4150      -30.57960       10.38120       6.202000
 1989.6250  8     -0.5300000      0.1684650      0.2100660       2.004040       100.4150      -37.22470       10.38120       6.070100
 1989.7083  9     -0.3000000      0.1682160      0.3484820       2.009240       4.438600      -48.67470      0.7031000       5.948900
 1989.7917 10     -0.4000000      0.1684560       1.026760       2.061680       11.98190      -66.70870       1.693800       6.084700
 1989.8750 11     -0.4500000      0.1700330       1.603250       1.722080       28.37190      -66.70870       1.727600       6.084700
 1989.9583 12     -0.1300000      0.1691630       1.837000      0.9844890       39.27690      -66.70870       1.083900       6.084700
 1990.0417  1     0.01000000      0.1682280       2.088720      0.3882350       56.38790      -66.70870       2.084600       6.084700
 1990.1250  2      0.2100000      0.1654590       2.476570     0.08940160       73.76090      -66.70870       5.486200       6.084700
 1990.2083  3     0.04000000      0.1654240       2.694770     -0.4280520       79.46700      -4.358900       8.476200      0.4142000
 1990.2917  4     0.08000000      0.1663200       2.652910     -0.9948070       89.34540      -10.39010       10.35500      -1.464400
 1990.3750  5     0.08000000      0.1654120       1.850680      -1.551970       89.34540      -15.29710       10.35500      -3.267800
 1990.4583  6    -0.08000000      0.1648800       1.002960      -1.844800       89.34540      -22.68060       10.35500      -3.174700
 1990.5417  7     0.09000000      0.1655380      0.4350330      -1.815750       89.34540      -31.48980       10.35500      -4.389800
 1990.6250  8      0.2200000      0.1674700      0.2900030      -1.906710       89.34540      -39.15140       10.35500      -3.924100
 1990.7083  9      0.2200000      0.1663960   -0.006833810      -1.959960       4.410600      -53.33540     -0.2104000      -2.442500
 1990.7917 10      0.2100000      0.1659550     -0.6425180      -1.831170       10.75650      -61.94340      0.4499000      -2.303500
 1990.8750 11      0.1000000      0.1630410      -1.240430      -1.496080       21.17750      -61.94340      0.9705000      -2.303500
 1990.9583 12      0.3500000      0.1646520      -1.335110      -1.304580       40.53250      -61.94340       2.247200      -2.303500
